family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
MELASTOMATACEAE,"Lavoisiera macrocarpa",Naudin,comments,NT,,Raquel,"Luiz Santos","Espécie arbustiva, saxícola, heliófila, e com altura de até 1,5 m Gouveia (Santos et al., 2009). Endêmica do estado de Minas Gerais (Martins & Rodrigues, 2014), ocorre em toda a região da Serra do Cipó, nos municípios de Congonhas do Norte, Santana do Riacho, Caeté, Conceição do Mato Dentro, Diamantina, Jaboticatubas, Santa Luzia da Serra e Serro, em altitudes entre 1.100 m e 1.270 m aproximadamente (CNCFlora, 2013). É comum em sua região de ocorrência, sendo encontrada em fitofisionomia de Campos Rupestres, associada a vegetação de Cerrado (Santos et al., 2009). Apesar de sua pequena EOO de 2.973 km², apresenta ampla distribuição na Serra do Cipó e registro de ocorrência em área protegida (Parque Nacional da Serra do Cipó). Entretanto, existem ameças potenciais para a espécie em sua EOO, inclusive na área protegida e em seu entorno, como: coleta de indivíduos maduros para uso ornamental, o aumento da frequência de incêndios associado a invasão pela gramínea africana Urochloa decumbens, turismo desordenado e pecuária (Ribeiro et al., 2005; MMA/ICMBio, 2009). Essas ameaças podem ocasionar futuramente declínio de indivíduos maduros, área de ocupação e de qualidade do habitat."
MELASTOMATACEAE,"Lavoisiera mucorifera","Mart. & Schrank ex DC.",comments,NT,,Raquel,"Luiz Santos","Espécie caracterizada por subarbustos ou arbustos eretos, com até 1 m de altura, saxícolas e heliófilas. Endêmica do estado de Minas Gerais, com ocorrência em diferentes localidades dos municípios de Diamantina, Gouvêa, Santana do Pirapema, Santana do Riacho e São Gonçalo do Rio Preto. Ocorre em altitudes de 1.030 m a 1.420 m aproximadamente, em áreas úmidas nos Campos Rupestres do Planalto de Diamantina e em campos arenoso-pedregosos. Apresenta EOO de 4.583 km² e AOO estimado em 84 km², e está sujeita a menos de 10 situações de ameaça, considerando suas localidades de ocorrência. Apesar de ocorrer no Parque Estadual do Rio Preto e Parque Estadual do Biribiri, o aumento da frequência de incêndios e o turismo são relatados como ameaças para essas duas Unidades de Conservação, podendo ocasionar futuramente declínio contínuo da extensão de ocorrência, área de ocupação e da qualidade do habitat. Visto que a espécie apresenta especificidade de habitat, sendo sendo frequente nos locais de ocorrência, são necessárias ações de manejo efetivas para controle das ameaças em sua área de ocorrência. "
MELASTOMATACEAE,"Lavoisiera punctata","Mart. & Schrank ex DC.",comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais, ocorrendo na Serra do Caraça, no município de Catas Altas e na Serra do Cipó, em localidades do município de Santana do Riacho e de Santa Luzia, em altitudes de 1.220 m a 1.300 m (Santos et al., 2009; CNCFlora; Martins & Rodrigues, 2014). Ocorre associada à vegetação de Cerrado, em campos pedregosos ou arenosos e em Florestas de Galeria (Santos et al., 2009). Apresenta EOO de 2.468,03 km², AOO de 24 km² e está sujeita a cinco situações de ameaça considerando as localidades de ocorrência. A atividade mineradora em expansão na região de Catas Altas (Santos, 2010), o aumento da frequência de incêndios associados à invasão por gramíneas exóticas (Urochloa decumbens (Stapf) R.D.Webster) (Ribeiro et al., 2005) e o turismo desordenado na Serra do Cipó (Pinto et al., 2008) representam ameaças para a espécie, implicando declínio contínuo de EOO, AOO, de qualidade do hábitat e do número de subpopulações. Considerando o baixo número de registros de coleta em coleções botânicas e a ausência em Unidades de Conservação, há a necessidade de investimentos no aumento do esforço de coleta para a busca de novos registros, de forma a confirmar seu real estado de conservação, bem como para o estabelecimento de ações necessárias a sua conservação."
MELASTOMATACEAE,"Lavoisiera senaei",Schwacke,comments,VU,D2,Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais, restrita à Serra do Cipó, ocorre nos municípios de Santana do Riacho, Santa Luzia e Jaboticatubas (Santos et al., 2009; CNCFlora, 2013; Martins & Rodrigues, 2014). Encontrada em áreas de Cerrado, em fitofisionomias de Campos Rupestres, campos alagados, margem de riachos e Floresta de Galeria, considerada muito frequente no local de ocorrência, em altitudes de 1.220 m a 1.280 m (Santos et al., 2009; CNCFlora, 2013). Apresenta EOO de 361,18 km², AOO de 20 km² e está sujeita a quatro situações de ameaça considerando suas localidades de ocorrência. São ameaças para a espécie na região da Serra do Cipó o aumento da frequência de incêndios associado à invasão por gramíneas exóticas (Ribeiro et al., 2005) e o turismo desordenado (Pinto et al., 2008), que ocasionam declínio contínuo da EOO, AOO e da qualidade do hábitat. Apesar da pequena extensão de ocorrência, a espécie apresenta plasticidade ambiental em sua área de distribuição, sendo muito frequente nesses locais, e dispõe de registros em área protegida (Parque Nacional da Serra do Cipó). Tendo em vista que a espécie caracteriza-se por pequenos subarbustos, o esforço de coleta pode ter sido subestimado. Nesse sentido, são necessários investimentos para aumentar o esforço de coleta, de forma a confirmar seu real estado de conservação na natureza. Medidas de controle e monitoramento das ameaças incidentes na área de distribuição da espécie são emergenciais, devido a sua restrição de ocorrência, além da elaboração de planos de ação voltados a sua conservação."
MELASTOMATACEAE,"Lavoisiera subulata",Triana,comments,VU,D2,Raquel,"Luiz Santos","Endêmica do estado de Minas Gerais, com ocorrência em diferentes localidades da Serra do Cipó, nos municípios de Santana do Riacho, Caeté, Jaboticatubas e Santa Luzia, em altitudes entre 1.030 m e 1.250 m (CNCFlora, 2013; Martins & Rodrigues, 2014). Ocorre em formações campestres associadas à vegetação de Cerrado, em Campo Rupestre, Campo Limpo arenoso, em afloramentos de quartzito, Campo Úmido e em Floresta de Galeria, sendo muito frequente nos locais de ocorrência (Santos et al., 2009; CNCFlora, 2013). Apresenta EOO de 1.490,43 km², AOO estimada em 40 km² e está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. Apresenta ampla distribuição na Serra do do Cipó e plasticidade ambiental, inclusive com registro em Unidade de Conservação (Parque Nacional da Serra do Cipó – PNSC) (CNCFlora, 2013). O turismo desordenado é uma ameaça a espécie, que atinge inclusive a área PNSC e do seu entorno, bem como pelo aumento na frequência de incêndios de origem antrópica utilizados no manejo do solo para a implementação de atividades pecuaristas (MMA/ICMBio, 2009). Medidas de controle e de monitoramento das ameaças incidentes são necessárias, a fim de evitar que a espécie figure em um grau de ameaça mais severo em um futuro próximo, além de investimentos para a elaboração de planos de ação voltados a sua conservação."
MELASTOMATACEAE,"Lavoisiera tetragona","Mart. & Schrank ex DC.",comments,CR,"B1ab(i,ii,iii,iv)",Raquel,"Luiz Santos","A espécie é endêmica do estado de Minas Gerais, com ocorrência no município de Serro, na localidade de Milho Verde, no município de Santo Antônio do Itambé, na localidade do Pico do Itambé, e na Serra do Cipó no município de Conceição do Mato Dentro (Santos et al., 2009; CNCFlora, 2013; Martins & Rodrigues, 2014). Ocorre em vegetação de Cerrado, associada a Campos Rupestres, em solos rochosos e arenosos (Santos et al., 2009; CNCFlora, 2013). Apresenta EOO de 68,10 km², AOO de 12 km² e está sujeita a até cinco situações de ameaça em função das localidades de ocorrência. A mineração de ouro e diamante na região do município de Serro, e de pedras preciosas no município de Santo Antônio do Itambé (IBGE, 2013), pode ser considerada uma ameaça passada, que resultou no declínio contínuo da EOO, AOO, da qualidade do hábitat e de subpopulações. Atualmente, à pecuária e à agricultura de subsistência tem sido desenvolvida pela maioria da população local (IBGE, 2013). Tendo em vista que a espécie é um pequeno subarbusto, e não ocorre em área protegida, recomenda-se investimentos na busca de novos registros de ocorrência em áreas correspondentes ao seu hábitat potencial, de forma que seja possível confirmar seu real estado de conservação, além de investimentos para a implementação de ações necessárias a sua proteção."
MELASTOMATACEAE,"Microlicia balsamifera","(DC.) Mart.",comments,VU,"B1ab(i,ii,iii)",Raquel,"Luiz Santos","A espécie é endêmica do estado da Bahia, com ocorrência na Chapada Diamantina, em diferentes localidades nos municípios de Abaíra, Rio de Contas, Érico Cardoso, Ibicoara, Jacobina, Livramento do Brumado, Miguel Calmon, Morro do Chapéu, Mucugê e Rio do Pires (Santos et al., 2009; CNCFlora, 2013; Romero & Woodgyer, 2014). Ocorre em Cerrado, formando subpopulações geralmente densas em fitofisionomias de Campos Rupestres, Campos Úmidos, ou campo arenoso com afloramentos rochosos e sobre solo arenoso ou com rochas areníticas (Santos et al., 2009; CNCFlora, 2013). Apresenta EOO de 14.219 km², em amplitude altitudinal de 770 m a 1.900 m (CNCFlora, 2013). Apesar de apresentar registros de ocorrência em área protegida (Parque Nacional da Chapada Diamantina), atividades agrícolas e pecuaristas que requerem prática de queimadas no manejo do solo e o favorecimento da de espécies exóticas (Sales & Silva, 2008) são ameaças a espécie. Medidas de controle e monitoramento das ameaças incidentes são necessárias a fim de minimizar o declínio da EOO, AOO e qualidade do hábitat da espécie."
MELASTOMATACEAE,"Microlicia cipoana",Hoehne,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",Raquel,"Luiz Santos","A espécie é endêmica do estado de Minas Gerais, restrita à Serra do Cipó, com ocorrência nos municípios de Santana do Riacho, Conceição do Mato Dentro e Santa Luzia (Santos et al., 2009; CNCFlora, 2013; Romero & Woodgyer, 2014). Ocorre em campos sobre pedras, associados à vegetação de Cerrado (Santos et al., 2009; Romero & Woodgyer, 2014). Possui EOO de 126 km², AOO de 12 km² e está sujeita a três situações de ameaça considerando a proximidade das localidades nos municípios de ocorrência. São ameaças para a espécie, o aumento da frequência de incêndios associado à invasão de gramíneas africanas como a braquiária (Urochloa decumbens (Stapf) R.D.Webster) e o turismo desordenado na Serra do Cipó (Ribeiro et al., 2005; Pinto et al., 2008), que implicam o declínio contínuo da EOO, AOO e de qualidade do hábitat. Apesar de muito frequente nas localidades, não ocorre em área protegida. Entretanto, apresenta especificidade de hábitat, sendo necessários investimentos para a busca de novos registros em hábitats potenciais e para o planejamento de ações necessárias a sua conservação."
MELASTOMATACEAE,"Microlicia crebropunctata",Pilg.,comments,DD,,Raquel,"Luiz Santos","Espécie caracterizada por subarbustos de até 0,4 m de altura, saxícola e heliófila (Santos et al., 2009). Endêmica do estado de Goiás, região da Chapada dos Veadeiros, sendo restrita ao município de Alto Paraíso de Goiás. Ocorre em Campos Rupestres associados a vegetação de Cerrado (Santos et al., 2009; Romero & Woodgyer, 2014). Apresenta EOO de 295,97 km² e AOO de 12 km², estando sujeita a duas situações de ameaça, considerando sua ocorrência no Parque Nacional da Chapada dos Veadeiros e no seu entorno. Informações acerca de sua biologia, ecologia e distribuição geográfica são escassas, não possibilitando uma avaliação do risco de extinção fundamentada. São necessários investimentos para a busca de novos registros, de forma a confirmar seu real estado de conservação, bem como para o estabelecimento de ações necessárias a sua conservação."
MELASTOMATACEAE,"Microlicia giuliettiana","A.B.Martins & Almeda",comments,NT,,Raquel,"Luiz Santos","Espécie subarbustiva com até 0,8 m de altura, saxícola e heliófila (Santos et al., 2009). Endêmica do estado da Bahia, restrita a região da Chapada Diamantina, nos municípios de Abaíra, Piatã, Rio de Contas, Cascavel, Érico Cardoso e Palmeiras, onde é encontrada entre 940 m e 1.850 m de altitude (Santos et al., 2009; Romero & Woodgyer, 2014). Ocorre em áreas de Cerrado, em Campos Rupestres e em áreas mais alagadas dessas fitofisionomias, em encostas próximas a brejos, matas, entre rochas em campos graminosos, em locais próximos de pastagens, sobre solo arenoso ou pedregosos e úmido (Santos et al., 2009; CNCFlora, 2013). Apesar da pequena EOO de aproximadamente 2.728,6 km², apresenta plasticidade ambiental em sua distribuição na Chapada Diamantina, e está sujeita a mais de 10 situações de ameaça, considerando suas localidades de ocorrência, incluindo uma ocorrência em área protegida (Parque Nacional da Chapada Diamantina). Entretanto, há relatos de ameaças como aumento da frequência de fogo, mineração e turismo desordenado para a região, e inclusive para a Unidade de Conservação, o que pode ocasionar futuramente declínio contínuo de extensão de ocorrência, área de ocupação, qualidade de habitat ou na densidade de suas subpopulações (Spinola, 2005; MMA/ICMBio, 2007)."
